name,team,bye_week,position,adp,name_normalized,match_key,year
Ja'Marr Chase,CIN,10.0,WR,1.0,jamarr chase,jamarrchase,2025
Justin Jefferson,MIN,6.0,WR,2.5,justin jefferson,justinjefferson,2025
Saquon Barkley,PHI,9.0,RB,3.0,saquon barkley,saquonbarkley,2025
Bijan Robinson,ATL,5.0,RB,3.5,bijan robinson,bijanrobinson,2025
CeeDee Lamb,DAL,10.0,WR,5.0,ceedee lamb,ceedeelamb,2025
Jahmyr Gibbs,DET,8.0,RB,6.0,jahmyr gibbs,jahmyrgibbs,2025
Puka Nacua,LAR,8.0,WR,7.5,puka nacua,pukanacua,2025
Malik Nabers,NYG,14.0,WR,8.0,malik nabers,maliknabers,2025
Christian McCaffrey,SF,14.0,RB,8.5,christian mccaffrey,christianmccaffrey,2025
Nico Collins,HOU,6.0,WR,11.0,nico collins,nicocollins,2025
Amon-Ra St. Brown,DET,8.0,WR,11.0,amon ra st brown,amonrastbrown,2025
Ashton Jeanty,LV,8.0,RB,11.0,ashton jeanty,ashtonjeanty,2025
Brian Thomas Jr.,JAC,8.0,WR,13.0,brian thomas,brianthomas,2025
Derrick Henry,BAL,7.0,RB,14.5,derrick henry,derrickhenry,2025
Drake London,ATL,5.0,WR,14.5,drake london,drakelondon,2025
De'Von Achane,MIA,12.0,RB,16.5,devon achane,devonachane,2025
A.J. Brown,PHI,9.0,WR,16.5,aj brown,ajbrown,2025
Ladd McConkey,LAC,12.0,WR,18.5,ladd mcconkey,laddmcconkey,2025
Brock Bowers,LV,8.0,TE,18.5,brock bowers,brockbowers,2025
Jonathan Taylor,IND,11.0,RB,20.5,jonathan taylor,jonathantaylor,2025
Rashee Rice,KC,10.0,WR,21.0,rashee rice,rasheerice,2025
Bucky Irving,TB,9.0,RB,22.5,bucky irving,buckyirving,2025
Tee Higgins,CIN,10.0,WR,23.0,tee higgins,teehiggins,2025
Garrett Wilson,NYJ,9.0,WR,24.0,garrett wilson,garrettwilson,2025
Trey McBride,ARI,8.0,TE,25.5,trey mcbride,treymcbride,2025
Josh Jacobs,GB,5.0,RB,26.5,josh jacobs,joshjacobs,2025
Marvin Harrison Jr.,ARI,8.0,WR,27.0,marvin harrison,marvinharrison,2025
Davante Adams,LAR,8.0,WR,28.0,davante adams,davanteadams,2025
Chase Brown,CIN,10.0,RB,28.0,chase brown,chasebrown,2025
Tyreek Hill,MIA,12.0,WR,30.0,tyreek hill,tyreekhill,2025
Jaxon Smith-Njigba,SEA,8.0,WR,31.0,jaxon smith njigba,jaxonsmithnjigba,2025
Terry McLaurin,WAS,12.0,WR,32.0,terry mclaurin,terrymclaurin,2025
Kyren Williams,LAR,8.0,RB,34.0,kyren williams,kyrenwilliams,2025
Breece Hall,NYJ,9.0,RB,34.0,breece hall,breecehall,2025
Josh Allen,BUF,7.0,QB,35.0,josh allen,joshallen,2025
Lamar Jackson,BAL,7.0,QB,35.0,lamar jackson,lamarjackson,2025
Mike Evans,TB,9.0,WR,36.0,mike evans,mikeevans,2025
Tetairoa McMillan,CAR,14.0,WR,38.0,tetairoa mcmillan,tetairoamcmillan,2025
Jayden Daniels,WAS,12.0,QB,40.0,jayden daniels,jaydendaniels,2025
DJ Moore,CHI,5.0,WR,40.5,dj moore,djmoore,2025
Xavier Worthy,KC,10.0,WR,40.5,xavier worthy,xavierworthy,2025
Jameson Williams,DET,8.0,WR,43.0,jameson williams,jamesonwilliams,2025
James Cook,BUF,7.0,RB,43.0,james cook,jamescook,2025
DK Metcalf,PIT,5.0,WR,44.0,dk metcalf,dkmetcalf,2025
George Kittle,SF,14.0,TE,44.0,george kittle,georgekittle,2025
DeVonta Smith,PHI,9.0,WR,46.0,devonta smith,devontasmith,2025
Omarion Hampton,LAC,12.0,RB,47.5,omarion hampton,omarionhampton,2025
Jalen Hurts,PHI,9.0,QB,48.0,jalen hurts,jalenhurts,2025
Courtland Sutton,DEN,12.0,WR,48.5,courtland sutton,courtlandsutton,2025
Travis Hunter,JAC,8.0,WR,50.5,travis hunter,travishunter,2025
George Pickens,DAL,10.0,WR,50.5,george pickens,georgepickens,2025
Zay Flowers,BAL,7.0,WR,52.0,zay flowers,zayflowers,2025
Chuba Hubbard,CAR,14.0,RB,53.5,chuba hubbard,chubahubbard,2025
Kenneth Walker III,SEA,8.0,RB,54.0,kenneth walker,kennethwalker,2025
Calvin Ridley,TEN,10.0,WR,55.0,calvin ridley,calvinridley,2025
Jaylen Waddle,MIA,12.0,WR,55.5,jaylen waddle,jaylenwaddle,2025
Alvin Kamara,NO,11.0,RB,57.0,alvin kamara,alvinkamara,2025
Joe Mixon,HOU,6.0,RB,58.0,joe mixon,joemixon,2025
Joe Burrow,CIN,10.0,QB,58.5,joe burrow,joeburrow,2025
Jauan Jennings,SF,14.0,WR,61.0,jauan jennings,jauanjennings,2025
RJ Harvey,DEN,12.0,RB,62.0,rj harvey,rjharvey,2025
Chris Godwin,TB,9.0,WR,62.5,chris godwin,chrisgodwin,2025
Rome Odunze,CHI,5.0,WR,64.0,rome odunze,romeodunze,2025
James Conner,ARI,8.0,RB,64.5,james conner,jamesconner,2025
Chris Olave,NO,11.0,WR,64.5,chris olave,chrisolave,2025
TreVeyon Henderson,NE,14.0,RB,65.5,treveyon henderson,treveyonhenderson,2025
Jordan Addison,MIN,6.0,WR,66.0,jordan addison,jordanaddison,2025
Jerry Jeudy,CLE,9.0,WR,66.5,jerry jeudy,jerryjeudy,2025
Deebo Samuel Sr.,WAS,12.0,WR,68.5,deebo samuel,deebosamuel,2025
Jakobi Meyers,LV,8.0,WR,70.0,jakobi meyers,jakobimeyers,2025
David Montgomery,DET,8.0,RB,71.5,david montgomery,davidmontgomery,2025
Ricky Pearsall,SF,14.0,WR,73.0,ricky pearsall,rickypearsall,2025
Sam LaPorta,DET,8.0,TE,73.0,sam laporta,samlaporta,2025
D'Andre Swift,CHI,5.0,RB,73.5,dandre swift,dandreswift,2025
Quinshon Judkins,CLE,9.0,RB,76.0,quinshon judkins,quinshonjudkins,2025
Kaleb Johnson,PIT,5.0,RB,76.0,kaleb johnson,kalebjohnson,2025
Khalil Shakir,BUF,7.0,WR,77.0,khalil shakir,khalilshakir,2025
Stefon Diggs,NE,14.0,WR,78.0,stefon diggs,stefondiggs,2025
Matthew Golden,GB,5.0,WR,78.5,matthew golden,matthewgolden,2025
Jayden Reed,GB,5.0,WR,80.0,jayden reed,jaydenreed,2025
Tony Pollard,TEN,10.0,RB,81.5,tony pollard,tonypollard,2025
Josh Downs,IND,11.0,WR,82.0,josh downs,joshdowns,2025
Isiah Pacheco,KC,10.0,RB,82.5,isiah pacheco,isiahpacheco,2025
Aaron Jones Sr.,MIN,6.0,RB,83.0,aaron jones,aaronjones,2025
Patrick Mahomes II,KC,10.0,QB,84.5,patrick mahomes,patrickmahomes,2025
Darnell Mooney,ATL,5.0,WR,86.5,darnell mooney,darnellmooney,2025
Brian Robinson Jr.,WAS,12.0,RB,88.0,brian robinson,brianrobinson,2025
T.J. Hockenson,MIN,6.0,TE,88.0,tj hockenson,tjhockenson,2025
Cooper Kupp,SEA,8.0,WR,89.5,cooper kupp,cooperkupp,2025
Baker Mayfield,TB,9.0,QB,90.5,baker mayfield,bakermayfield,2025
Brandon Aiyuk,SF,14.0,WR,91.0,brandon aiyuk,brandonaiyuk,2025
Michael Pittman Jr.,IND,11.0,WR,92.0,michael pittman,michaelpittman,2025
Jordan Mason,MIN,6.0,RB,94.5,jordan mason,jordanmason,2025
Kyler Murray,ARI,8.0,QB,95.0,kyler murray,kylermurray,2025
Emeka Egbuka,TB,9.0,WR,95.0,emeka egbuka,emekaegbuka,2025
Travis Kelce,KC,10.0,TE,95.5,travis kelce,traviskelce,2025
