name,team,bye_week,position,adp,name_normalized,match_key,year
Christian McCaffrey,SF,9.0,RB,1.0,christian mccaffrey,christianmccaffrey,2024
CeeDee Lamb,DAL,7.0,WR,2.6,ceedee lamb,ceedeelamb,2024
Tyreek Hill,MIA,6.0,WR,3.2,tyreek hill,tyreekhill,2024
Bijan Robinson,ATL,12.0,RB,5.0,bijan robinson,bijanrobinson,2024
Breece Hall,NYJ,12.0,RB,5.4,breece hall,breecehall,2024
Amon-Ra St. Brown,DET,5.0,WR,6.2,amon ra st brown,amonrastbrown,2024
Ja'Marr Chase,CIN,12.0,WR,6.6,jamarr chase,jamarrchase,2024
Justin Jefferson,MIN,6.0,WR,7.0,justin jefferson,justinjefferson,2024
Saquon Barkley,PHI,5.0,RB,9.2,saquon barkley,saquonbarkley,2024
A.J. Brown,PHI,5.0,WR,10.2,aj brown,ajbrown,2024
Jonathan Taylor,IND,14.0,RB,10.4,jonathan taylor,jonathantaylor,2024
Garrett Wilson,NYJ,12.0,WR,12.4,garrett wilson,garrettwilson,2024
Jahmyr Gibbs,DET,5.0,RB,12.8,jahmyr gibbs,jahmyrgibbs,2024
Puka Nacua,LAR,6.0,WR,14.2,puka nacua,pukanacua,2024
Kyren Williams,LAR,6.0,RB,16.0,kyren williams,kyrenwilliams,2024
Marvin Harrison Jr.,ARI,11.0,WR,16.8,marvin harrison,marvinharrison,2024
Travis Etienne Jr.,JAC,12.0,RB,17.4,travis etienne,travisetienne,2024
Derrick Henry,BAL,14.0,RB,18.0,derrick henry,derrickhenry,2024
Isiah Pacheco,KC,6.0,RB,20.2,isiah pacheco,isiahpacheco,2024
Davante Adams,LAR,6.0,WR,22.0,davante adams,davanteadams,2024
Josh Allen,BUF,12.0,QB,24.2,josh allen,joshallen,2024
Travis Kelce,KC,6.0,TE,25.2,travis kelce,traviskelce,2024
Drake London,ATL,12.0,WR,25.6,drake london,drakelondon,2024
Chris Olave,NO,12.0,WR,26.2,chris olave,chrisolave,2024
De'Von Achane,MIA,6.0,RB,27.4,devon achane,devonachane,2024
Josh Jacobs,GB,10.0,RB,28.2,josh jacobs,joshjacobs,2024
Nico Collins,HOU,14.0,WR,28.2,nico collins,nicocollins,2024
Patrick Mahomes II,KC,6.0,QB,29.0,patrick mahomes,patrickmahomes,2024
James Cook,BUF,12.0,RB,31.0,james cook,jamescook,2024
Mike Evans,TB,11.0,WR,31.2,mike evans,mikeevans,2024
Jalen Hurts,PHI,5.0,QB,31.2,jalen hurts,jalenhurts,2024
