name,team,bye_week,position,adp,name_normalized,match_key,year
Christian McCaffrey,SF,6.0,RB,1.0,christian mccaffrey,christianmccaffrey,2021
Dalvin Cook,FA,0.0,RB,2.0,dalvin cook,dalvincook,2021
Alvin Kamara,NO,6.0,RB,3.0,alvin kamara,alvinkamara,2021
Derrick Henry,BAL,8.0,RB,4.0,derrick henry,derrickhenry,2021
Ezekiel Elliott,FA,0.0,RB,5.8,ezekiel elliott,ezekielelliott,2021
Davante Adams,LAR,11.0,WR,6.6,davante adams,davanteadams,2021
Travis Kelce,KC,12.0,TE,8.4,travis kelce,traviskelce,2021
Aaron Jones Sr.,MIN,7.0,RB,9.4,aaron jones,aaronjones,2021
Saquon Barkley,PHI,14.0,RB,9.6,saquon barkley,saquonbarkley,2021
Nick Chubb,HOU,10.0,RB,10.4,nick chubb,nickchubb,2021
Jonathan Taylor,IND,14.0,RB,10.4,jonathan taylor,jonathantaylor,2021
Austin Ekeler,WAS,9.0,RB,10.4,austin ekeler,austinekeler,2021
Tyreek Hill,MIA,14.0,WR,10.6,tyreek hill,tyreekhill,2021
Stefon Diggs,NE,14.0,WR,14.0,stefon diggs,stefondiggs,2021
Najee Harris,LAC,7.0,RB,15.6,najee harris,najeeharris,2021
DeAndre Hopkins,BAL,8.0,WR,17.2,deandre hopkins,deandrehopkins,2021
Antonio Gibson,NE,14.0,RB,17.6,antonio gibson,antoniogibson,2021
Patrick Mahomes II,KC,12.0,QB,18.2,patrick mahomes,patrickmahomes,2021
Calvin Ridley,TEN,13.0,WR,18.4,calvin ridley,calvinridley,2021
DK Metcalf,PIT,7.0,WR,18.8,dk metcalf,dkmetcalf,2021
Joe Mixon,HOU,10.0,RB,20.8,joe mixon,joemixon,2021
Darren Waller,FA,0.0,TE,22.4,darren waller,darrenwaller,2021
Justin Jefferson,MIN,7.0,WR,23.4,justin jefferson,justinjefferson,2021
A.J. Brown,PHI,14.0,WR,23.8,aj brown,ajbrown,2021
Clyde Edwards-Helaire,NO,6.0,RB,24.2,clyde edwards helaire,clydeedwardshelaire,2021
George Kittle,SF,6.0,TE,26.8,george kittle,georgekittle,2021
Keenan Allen,FA,0.0,WR,27.4,keenan allen,keenanallen,2021
Terry McLaurin,WAS,9.0,WR,29.6,terry mclaurin,terrymclaurin,2021
Josh Allen,BUF,7.0,QB,30.0,josh allen,joshallen,2021
David Montgomery,DET,9.0,RB,30.2,david montgomery,davidmontgomery,2021
Allen Robinson,II,0.0,WR,32.0,allen robinson,allenrobinson,2021
Chris Carson ,FA,0.0,RB,32.4,chris carson,chriscarson,2021
CeeDee Lamb,DAL,7.0,WR,32.8,ceedee lamb,ceedeelamb,2021
James Robinson ,FA,0.0,RB,33.4,james robinson,jamesrobinson,2021
Mike Evans,TB,9.0,WR,35.4,mike evans,mikeevans,2021
Josh Jacobs,GB,13.0,RB,36.4,josh jacobs,joshjacobs,2021
D'Andre Swift,CHI,10.0,RB,36.8,dandre swift,dandreswift,2021
Miles Sanders,DAL,7.0,RB,38.2,miles sanders,milessanders,2021
Robert Woods,PIT,7.0,WR,38.4,robert woods,robertwoods,2021
Kyler Murray,ARI,12.0,QB,40.2,kyler murray,kylermurray,2021
Amari Cooper,FA,0.0,WR,41.2,amari cooper,amaricooper,2021
Chris Godwin,TB,9.0,WR,42.4,chris godwin,chrisgodwin,2021
Lamar Jackson,BAL,8.0,QB,44.8,lamar jackson,lamarjackson,2021
Cooper Kupp,SEA,9.0,WR,46.0,cooper kupp,cooperkupp,2021
