name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Justin Jefferson,MIN,13.0,WR,1.0,justin jefferson,justinjefferson,2023,166.2,9.0
Christian McCaffrey,SF,9.0,RB,2.3,christian mccaffrey,christianmccaffrey,2023,391.3,16.0
Ja'Marr Chase,CIN,7.0,WR,3.0,jamarr chase,jamarrchase,2023,257.1,15.0
Austin Ekeler,WAS,14.0,RB,3.8,austin ekeler,austinekeler,2023,173.5,13.0
Travis Kelce,KC,10.0,TE,5.8,travis kelce,traviskelce,2023,219.4,15.0
Tyreek Hill,MIA,10.0,WR,6.3,tyreek hill,tyreekhill,2023,355.2,15.0
Saquon Barkley,PHI,10.0,RB,7.8,saquon barkley,saquonbarkley,2023,199.5,13.0
Bijan Robinson,ATL,11.0,RB,8.0,bijan robinson,bijanrobinson,2023,220.2,16.0
Stefon Diggs,NE,11.0,WR,10.0,stefon diggs,stefondiggs,2023,258.1,16.0
Nick Chubb,HU,7.0,RB,12.3,nick chubb,nickchubb,2023,23.1,2.0
Davante Adams,LAR,10.0,WR,12.8,davante adams,davanteadams,2023,249.8,16.0
CeeDee Lamb,DAL,7.0,WR,13.3,ceedee lamb,ceedeelamb,2023,367.7,16.0
Cooper Kupp,SEA,5.0,WR,13.8,cooper kupp,cooperkupp,2023,164.4,12.0
Patrick Mahomes II,KC,10.0,QB,14.5,patrick mahomes,patrickmahomes,2023,280.3,16.0
A.J. Brown,PHI,10.0,WR,15.0,aj brown,ajbrown,2023,289.7,16.0
Tony Pollard,TEN,7.0,RB,16.0,tony pollard,tonypollard,2023,206.0,16.0
Josh Jacobs,GB,6.0,RB,16.0,josh jacobs,joshjacobs,2023,181.1,13.0
Derrick Henry,BAL,13.0,RB,16.0,derrick henry,derrickhenry,2023,216.8,16.0
Garrett Wilson,NYJ,7.0,WR,17.3,garrett wilson,garrettwilson,2023,207.8,16.0
Amon-Ra St. Brown,DET,9.0,WR,18.8,amon ra st brown,amonrastbrown,2023,303.5,15.0
Josh Allen,BUF,13.0,QB,20.5,josh allen,joshallen,2023,369.6,16.0
Jalen Hurts,PHI,10.0,QB,22.8,jalen hurts,jalenhurts,2023,356.2,16.0
Jaylen Waddle,MIA,10.0,WR,24.5,jaylen waddle,jaylenwaddle,2023,198.6,14.0
Chris Olave,NO,11.0,WR,26.5,chris olave,chrisolave,2023,216.7,15.0
DeVonta Smith,PHI,10.0,WR,27.0,devonta smith,devontasmith,2023,227.6,16.0
Najee Harris,LAC,5.0,RB,28.0,najee harris,najeeharris,2023,171.2,16.0
Travis Etienne Jr.,JAC,9.0,RB,28.8,travis etienne,travisetienne,2023,268.7,16.0
Tee Higgins,CIN,7.0,WR,28.8,tee higgins,teehiggins,2023,137.6,12.0
Mark Andrews,BAL,13.0,TE,30.3,mark andrews,markandrews,2023,135.4,10.0
Rhamondre Stevenson,NE,11.0,RB,30.5,rhamondre stevenson,rhamondrestevenson,2023,145.7,12.0
DK Metcalf,PIT,6.0,WR,31.3,dk metcalf,dkmetcalf,2023,223.4,15.0
Joe Mixon,HOU,7.0,RB,33.0,joe mixon,joemixon,2023,242.3,16.0
Jahmyr Gibbs,DET,9.0,RB,33.0,jahmyr gibbs,jahmyrgibbs,2023,233.1,14.0
Lamar Jackson,BAL,13.0,QB,34.0,lamar jackson,lamarjackson,2023,331.2,16.0
Calvin Ridley,TEN,7.0,WR,34.5,calvin ridley,calvinridley,2023,207.3,16.0
Joe Burrow,CIN,7.0,QB,34.8,joe burrow,joeburrow,2023,147.2,10.0
Aaron Jones Sr.,MIN,13.0,RB,37.3,aaron jones,aaronjones,2023,115.8,10.0
Deebo Samuel Sr.,WAS,14.0,WR,38.0,deebo samuel,deebosamuel,2023,238.5,14.0
Breece Hall,NYJ,7.0,RB,40.8,breece hall,breecehall,2023,261.5,16.0
Amari Cooper,FA,0.0,WR,42.0,amari cooper,amaricooper,2023,227.0,15.0
Keenan Allen,FA,0.0,WR,43.5,keenan allen,keenanallen,2023,272.9,13.0
Justin Herbert,LAC,5.0,QB,43.5,justin herbert,justinherbert,2023,232.2,13.0
Kenneth Walker III,SEA,5.0,RB,43.8,kenneth walker,kennethwalker,2023,190.3,14.0
Justin Fields,NYJ,7.0,QB,44.3,justin fields,justinfields,2023,221.6,12.0
T.J. Hockenson,MIN,13.0,TE,45.3,tj hockenson,tjhockenson,2023,219.0,15.0
Dameon Pierce,HOU,7.0,RB,46.3,dameon pierce,dameonpierce,2023,76.7,13.0
Jonathan Taylor,IND,11.0,RB,47.8,jonathan taylor,jonathantaylor,2023,128.8,9.0
George Kittle,SF,9.0,TE,49.5,george kittle,georgekittle,2023,203.2,16.0
Miles Sanders,DAL,7.0,RB,50.5,miles sanders,milessanders,2023,85.8,15.0
Darren Waller,FA,0.0,TE,50.5,darren waller,darrenwaller,2023,103.7,11.0
