name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Christian McCaffrey,SF,9.0,RB,1.0,christian mccaffrey,christianmccaffrey,2024,47.8,4.0
CeeDee Lamb,DAL,7.0,WR,2.6,ceedee lamb,ceedeelamb,2024,263.4,15.0
Tyreek Hill,MIA,6.0,WR,3.2,tyreek hill,tyreekhill,2024,214.2,16.0
Bijan Robinson,ATL,12.0,RB,5.0,bijan robinson,bijanrobinson,2024,310.4,16.0
Breece Hall,NYJ,12.0,RB,5.4,breece hall,breecehall,2024,222.7,15.0
Amon-Ra St. Brown,DET,5.0,WR,6.2,amon ra st brown,amonrastbrown,2024,298.2,16.0
Ja'Marr Chase,CIN,12.0,WR,6.6,jamarr chase,jamarrchase,2024,377.4,16.0
Justin Jefferson,MIN,6.0,WR,7.0,justin jefferson,justinjefferson,2024,308.2,16.0
Saquon Barkley,PHI,5.0,RB,9.2,saquon barkley,saquonbarkley,2024,355.3,16.0
A.J. Brown,PHI,5.0,WR,10.2,aj brown,ajbrown,2024,216.9,13.0
Jonathan Taylor,IND,14.0,RB,10.4,jonathan taylor,jonathantaylor,2024,221.7,13.0
Garrett Wilson,NYJ,12.0,WR,12.4,garrett wilson,garrettwilson,2024,242.8,16.0
Jahmyr Gibbs,DET,5.0,RB,12.8,jahmyr gibbs,jahmyrgibbs,2024,316.9,16.0
Puka Nacua,LAR,6.0,WR,14.2,puka nacua,pukanacua,2024,206.6,11.0
Kyren Williams,LAR,6.0,RB,16.0,kyren williams,kyrenwilliams,2024,272.1,16.0
Marvin Harrison Jr.,ARI,11.0,WR,16.8,marvin harrison,marvinharrison,2024,179.2,16.0
Travis Etienne Jr.,JAC,12.0,RB,17.4,travis etienne,travisetienne,2024,121.2,14.0
Derrick Henry,BAL,14.0,RB,18.0,derrick henry,derrickhenry,2024,306.3,16.0
Isiah Pacheco,KC,6.0,RB,20.2,isiah pacheco,isiahpacheco,2024,56.9,7.0
Davante Adams,LAR,6.0,WR,22.0,davante adams,davanteadams,2024,220.5,13.0
Josh Allen,BUF,12.0,QB,24.2,josh allen,joshallen,2024,372.3,16.0
Travis Kelce,KC,6.0,TE,25.2,travis kelce,traviskelce,2024,195.4,16.0
Drake London,ATL,12.0,WR,25.6,drake london,drakelondon,2024,240.1,16.0
Chris Olave,NO,12.0,WR,26.2,chris olave,chrisolave,2024,76.7,8.0
