name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Zach Ertz,WAS,14.0,TE,88.8,zach ertz,zachertz,2022,115.6,10.0
Dawson Knox,BUF,7.0,TE,90.0,dawson knox,dawsonknox,2022,126.4,14.0
Elijah Moore,BUF,7.0,WR,90.0,elijah moore,elijahmoore,2022,86.0,15.0
DeVonta Smith,PHI,7.0,WR,90.3,devonta smith,devontasmith,2022,240.9,16.0
Matthew Stafford,LAR,7.0,QB,92.0,matthew stafford,matthewstafford,2022,108.4,9.0
Buffalo Bills,DST,7.0,DST,92.0,buffalo bills,buffalobills,2022,133.0,-1.0
Tyler Lockett,TEN,6.0,WR,96.5,tyler lockett,tylerlockett,2022,221.9,15.0
Brandon Aiyuk,SF,9.0,WR,98.0,brandon aiyuk,brandonaiyuk,2022,217.9,16.0
Drake London,ATL,14.0,WR,98.5,drake london,drakelondon,2022,160.6,16.0
Rhamondre Stevenson,NE,10.0,RB,100.0,rhamondre stevenson,rhamondrestevenson,2022,235.9,16.0
Christian Kirk,HOU,6.0,WR,100.3,christian kirk,christiankirk,2022,220.0,16.0
Trey Lance,LAC,8.0,QB,101.5,trey lance,treylance,2022,12.5,2.0
Robert Woods,PIT,9.0,WR,103.0,robert woods,robertwoods,2022,107.7,16.0
Allen Lazard,NYJ,10.0,WR,104.5,allen lazard,allenlazard,2022,160.7,14.0
Justin Tucker,FA,0.0,K,105.5,justin tucker,justintucker,2022,152.0,16.0
Melvin Gordon,III,0.0,RB,107.5,melvin gordon,melvingordon,2022,87.1,10.0
Pat Freiermuth,PIT,9.0,TE,108.5,pat freiermuth,patfreiermuth,2022,148.2,15.0
Chris Olave,NO,14.0,WR,110.8,chris olave,chrisolave,2022,183.2,14.0
Tampa Bay Buccaneers,DST,11.0,DST,112.3,tampa bay buccaneers,tampabaybuccaneers,2022,101.0,-1.0
Derek Carr,FA,0.0,QB,113.3,derek carr,derekcarr,2022,219.1,15.0
Kenneth Walker III,SEA,11.0,RB,116.0,kenneth walker,kennethwalker,2022,189.2,14.0
Chase Claypool,FA,0.0,WR,116.3,chase claypool,chaseclaypool,2022,96.1,14.0
James Robinson,FA,0.0,RB,117.0,james robinson,jamesrobinson,2022,88.6,11.0
Michael Carter,ARI,13.0,RB,117.0,michael carter,michaelcarter,2022,123.5,15.0
San Francisco 49ers,DST,9.0,DST,118.8,san francisco 49ers,sanfrancisco49ers,2022,148.0,-1.0
Kadarius Toney,FA,0.0,WR,119.0,kadarius toney,kadariustoney,2022,44.9,8.0
James Cook,BUF,7.0,RB,120.0,james cook,jamescook,2022,98.6,15.0
Cole Kmet,CHI,14.0,TE,121.8,cole kmet,colekmet,2022,131.6,16.0
Indianapolis Colts,DST,14.0,DST,123.5,indianapolis colts,indianapoliscolts,2022,103.0,-1.0
Kirk Cousins,ATL,14.0,QB,125.3,kirk cousins,kirkcousins,2022,278.6,16.0
George Pickens,DAL,9.0,WR,127.8,george pickens,georgepickens,2022,150.3,16.0
Harrison Butker,KC,8.0,K,129.0,harrison butker,harrisonbutker,2022,94.0,12.0
Los Angeles Rams,DST,7.0,DST,129.0,los angeles rams,losangelesrams,2022,97.0,-1.0
Mike Gesicki,CIN,10.0,TE,129.0,mike gesicki,mikegesicki,2022,89.6,16.0
Evan McPherson,CIN,10.0,K,129.0,evan mcpherson,evanmcpherson,2022,123.0,16.0
Hunter Henry,NE,10.0,TE,130.3,hunter henry,hunterhenry,2022,93.7,16.0
Treylon Burks,TEN,6.0,WR,131.8,treylon burks,treylonburks,2022,88.2,10.0
Daniel Carlson,LV,6.0,K,132.3,daniel carlson,danielcarlson,2022,153.0,16.0
Darrell Henderson Jr.,FA,0.0,RB,132.5,darrell henderson,darrellhenderson,2022,73.5,10.0
Tyler Bass,BUF,7.0,K,132.8,tyler bass,tylerbass,2022,141.0,16.0
Alexander Mattison,MIA,11.0,RB,135.0,alexander mattison,alexandermattison,2022,69.4,16.0
New Orleans Saints,DST,14.0,DST,135.3,new orleans saints,neworleanssaints,2022,102.0,-1.0
Matt Gay,WAS,14.0,K,135.8,matt gay,mattgay,2022,122.0,16.0
Tyler Boyd,FA,0.0,WR,137.8,tyler boyd,tylerboyd,2022,156.1,15.0
Garrett Wilson,NYJ,10.0,WR,138.0,garrett wilson,garrettwilson,2022,197.8,16.0
Dallas Cowboys,DST,9.0,DST,138.8,dallas cowboys,dallascowboys,2022,164.0,-1.0
Michael Gallup,WAS,14.0,WR,139.3,michael gallup,michaelgallup,2022,103.4,13.0
Tua Tagovailoa,MIA,11.0,QB,140.5,tua tagovailoa,tuatagovailoa,2022,230.9,13.0
Nyheim Hines,FA,0.0,RB,140.5,nyheim hines,nyheimhines,2022,69.4,15.0
Green Bay Packers,DST,14.0,DST,142.5,green bay packers,greenbaypackers,2022,115.0,-1.0
Skyy Moore,KC,8.0,WR,142.8,skyy moore,skyymoore,2022,43.4,16.0
Julio Jones,FA,0.0,WR,143.8,julio jones,juliojones,2022,70.4,10.0
Raheem Mostert,LV,6.0,RB,144.8,raheem mostert,raheemmostert,2022,160.2,15.0
Russell Gage Jr.,SF,9.0,WR,145.5,russell gage,russellgage,2022,113.1,12.0
Kenneth Gainwell,PIT,9.0,RB,146.8,kenneth gainwell,kennethgainwell,2022,82.7,16.0
DJ Chark Jr.,FA,0.0,WR,147.5,dj chark,djchark,2022,93.8,10.0
Justin Fields,NYJ,10.0,QB,148.0,justin fields,justinfields,2022,296.0,15.0
Los Angeles Chargers,DST,8.0,DST,148.8,los angeles chargers,losangeleschargers,2022,101.0,-1.0
Marquez Valdes-Scantling,SEA,11.0,WR,148.8,marquez valdes scantling,marquezvaldesscantling,2022,116.7,16.0
Matt Prater,FA,0.0,K,151.0,matt prater,mattprater,2022,98.0,12.0
Brian Robinson Jr.,WAS,14.0,RB,153.8,brian robinson,brianrobinson,2022,112.7,12.0
Trevor Lawrence,JAC,11.0,QB,155.0,trevor lawrence,trevorlawrence,2022,285.4,16.0
Tyler Higbee,LAR,7.0,TE,155.3,tyler higbee,tylerhigbee,2022,144.7,16.0
Jarvis Landry ,FA,0.0,WR,157.3,jarvis landry,jarvislandry,2022,60.2,9.0
Baltimore Ravens,DST,10.0,DST,159.8,baltimore ravens,baltimoreravens,2022,130.0,-1.0
DeVante Parker,FA,0.0,WR,161.5,devante parker,devanteparker,2022,77.0,12.0
David Njoku,CLE,9.0,TE,161.8,david njoku,davidnjoku,2022,127.8,13.0
Jakobi Meyers,LV,6.0,WR,162.3,jakobi meyers,jakobimeyers,2022,168.0,13.0
Noah Fant,SEA,11.0,TE,164.3,noah fant,noahfant,2022,116.6,16.0
J.D. McKissic ,FA,0.0,RB,165.3,jd mckissic,jdmckissic,2022,55.8,8.0
New England Patriots,DST,10.0,DST,166.0,new england patriots,newenglandpatriots,2022,182.0,-1.0
Jameis Winston,NYG,9.0,QB,166.3,jameis winston,jameiswinston,2022,43.9,3.0
Younghoe Koo,ATL,14.0,K,166.5,younghoe koo,younghoekoo,2022,137.0,16.0
Jeff Wilson Jr.,FA,0.0,RB,167.0,jeff wilson,jeffwilson,2022,149.1,15.0
Mecole Hardman Jr.,GB,14.0,WR,168.8,mecole hardman,mecolehardman,2022,93.8,8.0
Denver Broncos,DST,9.0,DST,169.0,denver broncos,denverbroncos,2022,98.0,-1.0
Albert Okwuegbunam Jr.,IND,14.0,TE,169.3,albert okwuegbunam,albertokwuegbunam,2022,25.5,7.0
Miami Dolphins,DST,11.0,DST,169.3,miami dolphins,miamidolphins,2022,98.0,-1.0
Jamaal Williams,FA,0.0,RB,170.0,jamaal williams,jamaalwilliams,2022,206.7,16.0
Mason Crosby,FA,0.0,K,170.5,mason crosby,masoncrosby,2022,108.0,16.0
Nick Folk,FA,0.0,K,172.0,nick folk,nickfolk,2022,141.0,16.0
Matt Ryan,FA,0.0,QB,172.3,matt ryan,mattryan,2022,155.3,12.0
Brandon McManus,GB,14.0,K,173.8,brandon mcmanus,brandonmcmanus,2022,128.0,16.0
Jahan Dotson,PHI,7.0,WR,174.8,jahan dotson,jahandotson,2022,120.4,11.0
Pittsburgh Steelers,DST,9.0,DST,174.8,pittsburgh steelers,pittsburghsteelers,2022,95.0,-1.0
Irv Smith Jr.,HOU,6.0,TE,175.8,irv smith,irvsmith,2022,50.8,7.0
