name,team,bye_week,position,adp,name_normalized,match_key,year
Jonathan Taylor,IND,14.0,RB,1.0,jonathan taylor,jonathantaylor,2022
Christian McCaffrey,SF,9.0,RB,2.0,christian mccaffrey,christianmccaffrey,2022
Austin Ekeler,WAS,14.0,RB,3.8,austin ekeler,austinekeler,2022
Cooper Kupp,SEA,11.0,WR,4.0,cooper kupp,cooperkupp,2022
Derrick Henry,BAL,10.0,RB,5.3,derrick henry,derrickhenry,2022
Justin Jefferson,MIN,7.0,WR,5.5,justin jefferson,justinjefferson,2022
Dalvin Cook,FA,0.0,RB,7.5,dalvin cook,dalvincook,2022
Najee Harris,LAC,8.0,RB,8.0,najee harris,najeeharris,2022
Ja'Marr Chase,CIN,10.0,WR,8.3,jamarr chase,jamarrchase,2022
Joe Mixon,HOU,6.0,RB,10.3,joe mixon,joemixon,2022
Davante Adams,LAR,7.0,WR,12.3,davante adams,davanteadams,2022
Stefon Diggs,NE,10.0,WR,12.5,stefon diggs,stefondiggs,2022
Alvin Kamara,NO,14.0,RB,13.3,alvin kamara,alvinkamara,2022
Travis Kelce,KC,8.0,TE,15.0,travis kelce,traviskelce,2022
D'Andre Swift,CHI,14.0,RB,15.5,dandre swift,dandreswift,2022
Deebo Samuel Sr.,WAS,14.0,WR,17.0,deebo samuel,deebosamuel,2022
Aaron Jones Sr.,MIN,7.0,RB,19.5,aaron jones,aaronjones,2022
CeeDee Lamb,DAL,9.0,WR,19.5,ceedee lamb,ceedeelamb,2022
Tyreek Hill,MIA,11.0,WR,19.8,tyreek hill,tyreekhill,2022
Nick Chubb,HOU,6.0,RB,20.0,nick chubb,nickchubb,2022
Saquon Barkley,PHI,7.0,RB,20.3,saquon barkley,saquonbarkley,2022
Josh Allen,BUF,7.0,QB,20.8,josh allen,joshallen,2022
Mark Andrews,BAL,10.0,TE,21.8,mark andrews,markandrews,2022
Leonard Fournette,FA,0.0,RB,22.0,leonard fournette,leonardfournette,2022
Javonte Williams,DAL,9.0,RB,22.8,javonte williams,javontewilliams,2022
Mike Evans,TB,11.0,WR,26.8,mike evans,mikeevans,2022
Keenan Allen,FA,0.0,WR,28.3,keenan allen,keenanallen,2022
James Conner,ARI,13.0,RB,29.3,james conner,jamesconner,2022
Patrick Mahomes II,KC,8.0,QB,29.8,patrick mahomes,patrickmahomes,2022
Ezekiel Elliott,FA,0.0,RB,30.3,ezekiel elliott,ezekielelliott,2022
A.J. Brown,PHI,7.0,WR,30.8,aj brown,ajbrown,2022
Kyle Pitts,ATL,14.0,TE,32.8,kyle pitts,kylepitts,2022
Michael Pittman Jr.,IND,14.0,WR,33.5,michael pittman,michaelpittman,2022
Tee Higgins,CIN,10.0,WR,33.8,tee higgins,teehiggins,2022
Justin Herbert,LAC,8.0,QB,34.5,justin herbert,justinherbert,2022
David Montgomery,DET,6.0,RB,36.5,david montgomery,davidmontgomery,2022
George Kittle,SF,9.0,TE,39.8,george kittle,georgekittle,2022
Cam Akers,NO,14.0,RB,39.8,cam akers,camakers,2022
Travis Etienne Jr.,JAC,11.0,RB,40.5,travis etienne,travisetienne,2022
Terry McLaurin,WAS,14.0,WR,41.0,terry mclaurin,terrymclaurin,2022
Lamar Jackson,BAL,10.0,QB,43.5,lamar jackson,lamarjackson,2022
Diontae Johnson,CLE,9.0,WR,43.8,diontae johnson,diontaejohnson,2022
DJ Moore,CHI,14.0,WR,43.8,dj moore,djmoore,2022
Darren Waller,FA,0.0,TE,44.8,darren waller,darrenwaller,2022
Mike Williams,LAC,8.0,WR,46.0,mike williams,mikewilliams,2022
Jaylen Waddle,MIA,11.0,WR,47.3,jaylen waddle,jaylenwaddle,2022
DK Metcalf,PIT,9.0,WR,48.3,dk metcalf,dkmetcalf,2022
Josh Jacobs,GB,14.0,RB,49.5,josh jacobs,joshjacobs,2022
Elijah Mitchell,KC,8.0,RB,52.0,elijah mitchell,elijahmitchell,2022
J.K. Dobbins,DEN,9.0,RB,52.0,jk dobbins,jkdobbins,2022
Breece Hall,NYJ,10.0,RB,52.3,breece hall,breecehall,2022
Kyler Murray,ARI,13.0,QB,53.8,kyler murray,kylermurray,2022
Jalen Hurts,PHI,7.0,QB,55.3,jalen hurts,jalenhurts,2022
Brandin Cooks,NO,14.0,WR,56.0,brandin cooks,brandincooks,2022
Dalton Schultz,HOU,6.0,TE,57.3,dalton schultz,daltonschultz,2022
Courtland Sutton,DEN,9.0,WR,58.0,courtland sutton,courtlandsutton,2022
Joe Burrow,CIN,10.0,QB,60.3,joe burrow,joeburrow,2022
Marquise Brown,KC,8.0,WR,61.5,marquise brown,marquisebrown,2022
Chris Godwin,TB,11.0,WR,61.8,chris godwin,chrisgodwin,2022
Allen Robinson II ,FA,0.0,WR,62.8,allen robinson ii,allenrobinsonii,2022
Amon-Ra St. Brown,DET,6.0,WR,63.5,amon ra st brown,amonrastbrown,2022
Clyde Edwards-Helaire,NO,14.0,RB,64.0,clyde edwards helaire,clydeedwardshelaire,2022
Antonio Gibson,NE,10.0,RB,64.8,antonio gibson,antoniogibson,2022
T.J. Hockenson,MIN,7.0,TE,65.8,tj hockenson,tjhockenson,2022
Jerry Jeudy,CLE,9.0,WR,65.8,jerry jeudy,jerryjeudy,2022
Gabe Davis,FA,0.0,WR,67.3,gabe davis,gabedavis,2022
A.J. Dillon,PHI,7.0,RB,67.8,aj dillon,ajdillon,2022
Amari Cooper,FA,0.0,WR,67.8,amari cooper,amaricooper,2022
Dallas Goedert,PHI,7.0,TE,70.5,dallas goedert,dallasgoedert,2022
Tom Brady,FA,0.0,QB,72.0,tom brady,tombrady,2022
Adam Thielen,CAR,13.0,WR,73.3,adam thielen,adamthielen,2022
Darnell Mooney,ATL,14.0,WR,73.5,darnell mooney,darnellmooney,2022
JuJu Smith-Schuster,KC,8.0,WR,74.3,juju smith schuster,jujusmithschuster,2022
Russell Wilson,NYG,9.0,QB,77.5,russell wilson,russellwilson,2022
Michael Thomas ,FA,0.0,WR,80.0,michael thomas,michaelthomas,2022
Aaron Rodgers,PIT,9.0,QB,80.3,aaron rodgers,aaronrodgers,2022
Dak Prescott,DAL,9.0,QB,82.0,dak prescott,dakprescott,2022
