"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Dallas Cowboys","DST","DAL","7","7","13","8","11","13","BYE","2","3","23","8","5","17","22","16","24","1","","11.3","180"
"2","New England Patriots","DST","NE","5","19","3","2","5","3","12","13","20","11","28","14","8","BYE","3","-1","12","","9.8","157"
"3","Indianapolis Colts","DST","IND","4","11","7","8","3","15","11","6","5","14","10","2","18","BYE","14","3","6","","8.6","137"
"4","Buffalo Bills","DST","BUF","3","22","7","23","17","1","BYE","12","8","12","-4","11","3","1","7","5","8","","8.5","136"
"5","New Orleans Saints","DST","NO","15","6","20","2","6","BYE","9","15","2","2","4","5","3","7","18","6","15","","8.4","135"
"5","Miami Dolphins","DST","MIA","6","3","10","4","-2","4","4","0","17","18","5","23","9","BYE","9","25","0","","8.4","135"
"7","Tampa Bay Buccaneers","DST","TB","2","19","0","9","8","4","21","0","BYE","6","12","12","11","5","6","16","3","","8.4","134"
"8","Kansas City Chiefs","DST","KC","5","7","0","2","-1","8","3","6","11","7","15","BYE","17","24","3","12","3","","7.6","122"
"9","Tennessee Titans","DST","TEN","0","2","3","3","13","4","17","12","16","6","0","-2","BYE","21","4","7","15","","7.6","121"
"10","Green Bay Packers","DST","GB","-4","6","7","7","7","7","14","8","5","17","1","13","BYE","13","0","13","6","","7.5","120"
"11","Arizona Cardinals","DST","ARI","16","1","21","5","8","12","11","1","12","3","8","BYE","11","2","3","2","3","","7.4","119"
"12","Denver Broncos","DST","DEN","8","9","19","3","3","1","4","17","7","4","BYE","17","4","10","4","9","-1","","7.4","118"
"13","Los Angeles Rams","DST","LAR","8","8","3","-1","7","16","7","7","5","1","BYE","2","10","8","9","11","13","","7.1","114"
"13","Philadelphia Eagles","DST","PHI","10","1","8","-1","12","1","1","21","0","15","11","5","5","BYE","3","16","6","","7.1","114"
"15","San Francisco 49ers","DST","SF","10","8","0","2","5","BYE","4","6","1","16","11","5","9","9","9","5","9","","6.8","109"
"16","Minnesota Vikings","DST","MIN","5","12","3","4","9","10","BYE","8","12","5","1","9","6","6","15","5","-4","","6.6","106"
"17","Chicago Bears","DST","CHI","0","20","5","9","9","3","-2","-1","11","BYE","9","4","0","5","7","2","21","","6.4","102"
"18","Pittsburgh Steelers","DST","PIT","14","2","2","5","5","8","BYE","10","7","5","2","0","10","0","16","-2","14","","6.1","98"
"19","Cincinnati Bengals","DST","CIN","5","6","12","1","4","7","6","7","-2","BYE","10","19","6","5","9","3","-1","","6.1","97"
"20","Cleveland Browns","DST","CLE","1","5","16","8","0","-2","5","3","18","-2","8","11","BYE","14","7","0","4","","6","96"
"21","Carolina Panthers","DST","CAR","9","12","8","-4","8","9","2","11","7","12","5","4","BYE","2","5","-1","3","","5.8","92"
"22","Seattle Seahawks","DST","SEA","6","4","0","6","3","3","8","13","BYE","4","2","8","9","6","7","4","5","","5.5","88"
"23","Houston Texans","DST","HOU","7","5","3","-1","5","1","7","-3","15","BYE","16","6","2","-1","10","12","3","","5.4","87"
"24","New York Giants","DST","NYG","4","2","6","2","2","2","17","7","14","BYE","2","13","3","-2","5","0","5","","5.1","82"
"25","Baltimore Ravens","DST","BAL","4","3","3","11","6","11","-1","BYE","-1","5","9","11","2","3","2","-1","14","","5.1","81"
"26","Los Angeles Chargers","DST","LAC","4","5","10","7","-3","6","BYE","3","1","4","-1","3","20","6","4","-3","13","","4.9","79"
"27","Washington Commanders","DST","WAS","5","3","-4","6","5","8","7","7","BYE","5","1","5","3","14","7","-1","2","","4.6","73"
"28","Atlanta Falcons","DST","ATL","0","1","5","0","5","BYE","6","3","3","-2","6","6","7","13","1","3","8","","4.1","65"
"29","Las Vegas Raiders","DST","LV","7","5","4","1","3","13","6","BYE","6","-2","4","0","4","-1","1","6","2","","3.7","59"
"30","New York Jets","DST","NYJ","4","3","4","7","4","BYE","-3","4","-3","2","2","8","1","2","12","9","2","","3.6","58"
"31","Jacksonville Jaguars","DST","JAC","-3","9","8","1","2","3","BYE","2","17","2","1","3","-3","5","2","3","-2","","3.1","50"
"32","Detroit Lions","DST","DET","1","-1","7","3","7","3","0","-4","BYE","7","9","4","5","-3","8","6","-3","","3.1","49"
""
""
