"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Brett Maher","K","FA","5","12","12","16","11","5","6","7","-","4","22","4","6","11","12","18","10","","10.1","161"
"2","Daniel Carlson","K","LV","9","13","10","14","16","BYE","10","0","8","2","14","10","11","12","7","5","12","","9.6","153"
"3","Justin Tucker","K","FA","6","10","9","11","16","8","13","9","10","-","7","15","4","11","5","9","9","","9.5","152"
"4","Jason Myers","K","SEA","6","1","11","14","10","13","16","11","8","6","BYE","10","10","6","9","4","11","","9.1","146"
"5","Eddy Pineiro","K","FA","6","10","12","6","10","5","3","9","3","16","3","12","-","13","12","14","7","","8.8","141"
"5","Tyler Bass","K","BUF","8","12","5","11","8","6","BYE","10","7","13","23","10","7","9","6","3","3","","8.8","141"
"5","Graham Gano","K","NYG","1","17","15","10","10","6","11","8","BYE","7","0","11","9","2","12","14","8","","8.8","141"
"5","Nick Folk","K","FA","1","5","10","6","18","8","2","21","17","-","4","15","4","11","13","0","6","","8.8","141"
"9","Younghoe Koo","K","ATL","19","5","12","12","1","4","6","14","5","3","12","9","14","BYE","4","9","8","","8.6","137"
"10","Robbie Gould","K","FA","4","9","6","6","7","2","14","7","-","10","8","8","18","5","3","13","14","","8.4","134"
"11","Greg Zuerlein","K","FA","4","9","18","6","8","9","12","5","10","-","4","9","19","4","5","3","8","","8.3","133"
"12","Riley Patterson","K","FA","12","8","12","3","7","3","3","5","11","5","-","8","7","13","11","15","9","","8.3","132"
"13","Chase McLaughlin","K","TB","-","0","11","5","17","9","6","11","4","9","12","7","9","-","21","4","4","","8.6","129"
"14","Brandon McManus","K","GB","11","12","5","5","11","13","4","3","-","4","14","4","14","4","8","9","7","","8","128"
"15","Ryan Succop","K","FA","15","10","8","8","8","14","3","10","12","3","-","6","5","1","5","15","4","","7.9","127"
"16","Ka'imi Fairbairn","K","HOU","10","11","8","7","11","BYE","10","5","5","11","4","3","7","16","6","7","5","","7.9","126"
"17","Jason Sanders","K","MIA","10","6","3","10","6","5","12","8","5","9","BYE","13","6","7","12","9","3","","7.8","124"
"18","Evan McPherson","K","CIN","8","13","10","11","6","8","5","1","6","BYE","17","9","10","5","9","4","1","","7.7","123"
"19","Matt Gay","K","WAS","6","7","9","9","4","6","-","2","7","5","10","5","14","7","8","19","4","","7.6","122"
"20","Cade York","K","FA","16","6","5","9","4","12","9","8","-","5","5","7","11","4","8","4","6","","7.4","119"
"20","Greg Joseph","K","SF","13","1","4","18","3","4","-","4","8","9","3","9","12","6","8","12","5","","7.4","119"
"22","Wil Lutz","K","DEN","10","4","2","7","9","14","11","6","7","5","10","0","10","-","3","5","10","","7.1","113"
"23","Michael Badgley","K","FA","-","-","-","13","-","-","9","10","1","7","7","7","19","12","8","5","12","","9.2","110"
"24","Mason Crosby","K","FA","1","10","2","9","10","4","3","5","3","7","3","9","8","-","6","15","13","","6.8","108"
"25","Joey Slye","K","TEN","2","1","0","5","7","6","11","5","6","19","12","8","9","-","9","2","5","","6.7","107"
"26","Cairo Santos","K","CHI","1","5","14","-","15","1","18","5","6","6","7","4","8","BYE","2","7","4","","6.9","103"
"27","Jake Elliott","K","PHI","8","6","6","5","-","10","BYE","5","3","3","5","12","5","12","5","11","6","","6.8","102"
"28","Matt Prater","K","FA","1","1","14","8","-","-","-","9","3","-","5","7","-","7","14","14","15","","8.2","98"
"29","Harrison Butker","K","KC","9","-","-","-","-","11","6","BYE","6","3","14","14","6","11","4","7","3","","7.8","94"
"30","Chris Boswell","K","PIT","14","8","5","12","3","10","5","-","BYE","-","-","-","-","2","8","9","12","","8","88"
"31","Cameron Dicker","K","LAC","-","-","-","-","9","-","-","BYE","8","12","10","5","8","11","6","8","8","","8.5","85"
"32","Randy Bullock","K","FA","9","1","7","7","3","-","14","5","6","5","-","0","4","2","2","2","7","","4.9","74"
"33","Matthew Wright","K","CAR","-","-","-","12","8","-","-","-","-","8","13","13","16","-","-","-","-","","11.7","70"
"34","Dustin Hopkins","K","CLE","7","6","4","10","-","13","-","-","BYE","-","-","-","-","-","-","-","-","","8","40"
"35","Austin Seibert","K","FA","5","11","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","7.7","23"
"36","Matt Ammendola","K","FA","-","9","3","-","5","3","-","-","-","-","-","-","-","-","-","-","-","","5","20"
"37","Rodrigo Blankenship","K","FA","9","-","-","-","-","-","10","0","-","-","-","-","-","-","-","-","-","","6.3","19"
"38","Taylor Bertolet","K","FA","-","-","-","-","12","-","3","-","-","0","-","-","-","-","-","-","-","","5","15"
"39","Tristan Vizcaino","K","FA","-","-","-","-","-","-","-","-","-","10","-","-","0","-","-","0","-","","3.3","10"
"39","Caleb Shudak","K","FA","-","-","-","-","-","-","-","-","-","-","-","10","-","-","-","-","-","","10","10"
"41","Nick Sciba","K","FA","-","-","-","-","-","-","-","7","-","-","-","-","-","-","-","-","-","","7","7"
"42","Dominik Eberle","K","FA","-","-","-","6","-","-","-","-","-","-","-","-","-","-","-","-","-","","6","6"
"43","Josh Lambo","K","FA","-","-","-","-","-","-","-","-","-","-","3","-","-","-","-","-","-","","3","3"
"44","Quinn Nordin","K","FA","-","-","-","-","0","-","-","-","-","-","0","-","0","-","-","-","-","","0","0"
"44","Ramiz Ahmed","K","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","","0","0"
""
""
