"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Michael Burton","DEN","RB","6.7","0.4","16","0","0","0","0","7","9","0","0","3","3","8","0"
"Jack Stoll","PHI","TE","6.7","0.4","16","0","0","0","0","0","0","0","0","7","4","27","0"
"Marvin Jones Jr.","DET","WR","6.5","1.1","6","0","0","0","0","0","0","0","1","10","5","35","0"
"Ke'Shawn Vaughn","TB","RB","6.4","1.1","6","0","0","0","0","24","42","0","0","5","2","2","0"
"Keith Smith","ATL","RB","6.3","0.5","13","0","0","0","0","0","0","0","0","3","3","33","0"
"Nate Adkins","DEN","TE","6.2","0.7","9","0","0","0","0","0","0","0","0","5","4","22","0"
"Brycen Hopkins","LAR","TE","6.1","0.4","14","0","0","0","0","0","0","0","0","4","3","31","0"
"Sam Darnold","SF","QB","5.9","0.7","9","12","108","1","1","14","-4","0","0","0","0","0","0"
"Zach Pascal","ARI","WR","5.9","0.5","13","0","0","0","0","0","0","0","0","15","4","19","0"
"Jalen Nailor","MIN","WR","5.9","1","6","0","0","0","0","0","0","0","0","6","3","29","0"
"Khari Blasingame","CHI","RB","5.8","0.4","15","0","0","0","0","8","26","0","0","6","3","2","0"
"Steven Sims","HOU","WR","5.6","1.9","3","0","0","0","0","1","1","0","0","3","3","25","0"
"Mike Strachan","CAR","WR","5.5","1.4","4","0","0","0","0","0","0","0","0","3","1","45","0"
"Greg Dulcich","DEN","TE","5.5","2.8","2","0","0","0","0","0","0","0","0","4","3","25","0"
"Charlie Jones","CIN","WR","5.5","0.6","10","0","0","0","0","0","0","0","0","6","4","15","0"
"Teagan Quitoriano","HOU","TE","5.3","0.8","7","0","0","0","0","0","0","0","0","3","2","33","0"
"Sean Tucker","TB","RB","5.2","0.5","11","0","0","0","0","15","23","0","0","2","2","9","0"
"Brian Hoyer","LV","QB","4.9","1.6","3","23","231","0","2","3","-3","0","0","0","0","0","0"
"Trishton Jackson","MIN","WR","4.9","0.7","7","0","0","0","0","0","0","0","0","4","2","9","0"
"Austin Trammell","LAR","WR","4.9","0.3","15","0","0","0","0","0","0","0","1","7","4","29","0"
"Kenny Yeboah","NYJ","TE","4.8","1.2","4","0","0","0","0","0","0","0","0","4","2","28","0"
"Brett Rypien","LAR","QB","4.8","2.4","2","18","172","0","1","3","19","0","1","0","0","0","0"
"Miles Boykin","PIT","WR","4.7","0.3","16","0","0","0","0","0","0","0","0","4","3","17","0"
"Peyton Hendershot","DAL","TE","4.4","0.6","7","0","0","0","0","1","0","0","0","6","3","14","0"
"Jashaun Corbin","NYG","RB","4.3","0.9","5","0","0","0","0","1","1","0","0","3","3","12","0"
"Grant Calcaterra","PHI","TE","4.1","0.3","14","0","0","0","0","0","0","0","0","2","2","21","0"
"Deon Jackson","IND","RB","4","1","4","0","0","0","0","14","16","0","2","6","5","14","0"
"Elijah Dotson","LAC","RB","3.9","1","4","0","0","0","0","4","6","0","0","2","2","13","0"
"Kayshon Boutte","NE","WR","3.9","1","4","0","0","0","0","0","0","0","0","7","2","19","0"
"Chris Manhertz","DEN","TE","3.6","0.2","16","0","0","0","0","0","0","0","0","4","2","16","0"
"Willie Snead IV","SF","WR","3.4","0.8","4","0","0","0","0","0","0","0","0","3","2","14","0"
"Malik Taylor","NYJ","WR","3.3","1.1","3","0","0","0","0","0","0","0","0","4","2","13","0"
"Rashaad Penny","PHI","RB","3.2","1.6","2","0","0","0","0","5","17","0","0","1","1","5","0"
"Charlie Woerner","SF","TE","3.2","0.2","16","0","0","0","0","0","0","0","0","2","2","12","0"
"Jake Funk","IND","RB","3.2","0.8","4","0","0","0","0","2","10","0","0","1","1","12","0"
"Kenyan Drake","BAL","RB","3.1","1","3","0","0","0","0","2","0","0","1","3","2","31","0"
"Trevon Wesco","TEN","TE","3.1","0.2","14","0","0","0","0","0","0","0","0","3","1","21","0"
"Anthony McFarland Jr.","PIT","RB","3.1","1","3","0","0","0","0","0","0","0","0","2","2","11","0"
"Zonovan Knight","DET","RB","3.1","1.5","2","0","0","0","0","3","13","0","0","1","1","8","0"
"Malik Willis","TEN","QB","3.1","1","3","4","74","0","0","5","21","0","1","0","0","0","0"
"Eric Saubert","DAL","TE","2.7","0.3","9","0","0","0","0","0","0","0","0","2","2","7","0"
"Adam Prentice","NO","RB","2.4","0.2","12","0","0","0","0","2","12","0","1","3","2","12","0"
"Alex Armah","WAS","RB","2.3","0.3","7","0","0","0","0","0","0","0","0","2","2","3","0"
"Devine Ozigbo","DET","RB","2.3","0.8","3","0","0","0","0","3","5","0","0","1","1","8","0"
"Derrick Gore","WAS","RB","2.3","0.5","5","0","0","0","0","2","23","0","0","0","0","0","0"
