"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Tua Tagovailoa","MIA","QB","230.9","17.8","13","259","3548","25","8","24","70","0","1","0","0","0","0"
"Aaron Rodgers","GB","QB","228","14.3","16","333","3490","25","11","31","84","1","4","0","0","0","0"
"Leonard Fournette","TB","RB","226.7","15.1","15","0","0","0","1","189","668","3","0","82","72","519","3"
"Mike Evans","TB","WR","225.4","15","15","0","0","0","0","0","0","0","0","128","77","1124","6"
"Tyler Lockett","SEA","WR","221.9","14.8","15","0","0","0","0","0","0","0","2","110","80","979","8"
"Joe Mixon","CIN","RB","221.7","17.1","13","0","0","0","0","199","787","6","0","69","55","400","2"
"Christian Kirk","JAX","WR","220","13.8","16","0","0","0","0","5","11","0","1","125","78","1009","7"
"DK Metcalf","SEA","WR","219.8","13.7","16","0","0","0","0","0","0","0","2","133","87","1008","6"
"Ja'Marr Chase","CIN","WR","219.8","20","11","0","0","0","0","5","8","0","2","121","79","960","8"
"Tee Higgins","CIN","WR","219.2","14.6","15","0","0","0","0","0","0","0","0","103","73","1022","7"
"Derek Carr","LV","QB","219.1","14.6","15","305","3522","24","14","24","102","0","0","0","0","0","0"
"Brandon Aiyuk","SF","WR","217.9","13.6","16","0","0","0","0","2","23","0","1","109","74","956","8"
"Miles Sanders","PHI","RB","213.4","13.3","16","0","0","0","0","248","1236","11","2","25","20","78","0"
"Chris Godwin","TB","WR","213.3","15.2","14","0","0","0","0","3","5","0","1","135","98","968","3"
"T.J. Hockenson","DET","TE","212.8","13.3","16","0","0","0","0","0","0","0","1","128","85","898","6"
"Terry McLaurin","WAS","WR","212.6","13.3","16","0","0","0","0","7","29","0","0","114","74","1117","4"
"Najee Harris","PIT","RB","209.3","13.1","16","1","4","0","0","249","954","6","1","52","40","219","3"
"Jamaal Williams","DET","RB","206.7","12.9","16","0","0","0","0","246","994","15","2","16","12","73","0"
"Michael Pittman Jr.","IND","WR","204.5","13.6","15","0","0","0","0","2","30","0","1","136","96","895","3"
"Russell Wilson","DEN","QB","201.5","14.4","14","279","3241","13","10","47","259","3","2","1","1","1","0"
"Cooper Kupp","LAR","WR","201.4","22.4","9","0","0","0","0","9","52","1","1","98","75","812","6"
"Kyler Murray","ARI","QB","200.5","18.2","11","259","2368","14","7","67","418","3","2","0","0","0","0"
"James Conner","ARI","RB","200.2","15.4","13","0","0","0","0","183","782","7","1","58","46","300","1"
"Alvin Kamara","NO","RB","199.8","14.3","14","0","0","0","0","200","791","2","4","75","56","487","2"
"Travis Etienne Jr.","JAX","RB","199.7","12.5","16","0","0","0","0","213","1108","5","3","43","33","299","0"
"Garrett Wilson","NYJ","WR","197.8","12.4","16","0","0","0","0","4","4","0","1","130","74","1014","4"
"DJ Moore","CAR","WR","197.1","12.3","16","0","0","0","0","10","53","0","0","114","62","878","7"
"Marcus Mariota","ATL","QB","196.6","15.1","13","184","2219","15","9","85","438","4","3","0","0","0","0"
"Zay Jones","JAX","WR","192","12.8","15","0","0","0","0","4","18","0","0","115","78","802","5"
"Mark Andrews","BAL","TE","190.5","12.7","15","0","0","0","0","3","8","0","0","113","73","847","5"
"Dak Prescott","DAL","QB","189.9","17.3","11","247","2732","22","14","39","166","1","1","0","0","0","0"
"Kenneth Walker III","SEA","RB","189.2","13.5","14","0","0","0","0","199","937","9","0","34","26","155","0"
"Jerick McKinnon","KC","RB","187.7","11.7","16","0","0","0","0","70","285","1","1","68","54","512","8"
"Ezekiel Elliott","DAL","RB","184.8","13.2","14","0","0","0","0","223","866","12","0","21","17","92","0"
"Chris Olave","NO","WR","183.2","13.1","14","0","0","0","0","0","0","0","1","107","67","982","3"
"George Kittle","SF","TE","181.6","13","14","0","0","0","0","0","0","0","1","80","56","736","9"
"Jerry Jeudy","DEN","WR","179.9","12.8","14","0","0","0","0","1","1","0","0","94","62","818","6"
"JuJu Smith-Schuster","KC","WR","179.8","12","15","0","0","0","0","0","0","0","2","99","76","898","3"
"Curtis Samuel","WAS","WR","175.9","11","16","0","0","0","0","37","191","1","1","91","63","658","4"
"Devin Singletary","BUF","RB","175.7","11.7","15","0","0","0","0","170","790","5","2","52","37","277","1"
"David Montgomery","CHI","RB","175.6","11.7","15","0","0","0","0","194","780","5","2","40","34","316","1"
"D'Andre Swift","DET","RB","175.5","13.5","13","0","0","0","0","93","517","5","0","63","41","328","3"
"Diontae Johnson","PIT","WR","172.9","10.8","16","0","0","0","0","7","25","0","0","137","84","844","0"
"Adam Thielen","MIN","WR","170.8","10.7","16","0","0","0","0","0","0","0","0","104","68","708","5"
"Evan Engram","JAX","TE","170.2","10.6","16","0","0","0","0","2","13","0","0","94","69","739","4"
"Mike Williams","LAC","WR","169.3","14.1","12","0","0","0","0","0","0","0","0","88","59","863","4"
"Jacoby Brissett","CLE","QB","168.6","11.2","15","236","2608","12","6","49","243","2","4","0","0","0","0"
"Jakobi Meyers","NE","WR","168","12.9","13","0","0","0","0","2","-11","0","2","88","64","771","5"
"Dameon Pierce","HOU","RB","166.4","12.8","13","0","0","0","0","220","939","4","2","39","30","165","1"
"Antonio Gibson","WAS","RB","165.9","11.1","15","0","0","0","0","149","546","3","0","58","46","353","2"
"Jimmy Garoppolo","SF","QB","164.8","15","11","207","2437","16","4","23","33","2","2","0","0","0","0"
"Gabe Davis","BUF","WR","164.7","11.8","14","0","0","0","0","0","0","0","1","82","45","797","7"
"AJ Dillon","GB","RB","164.3","10.3","16","0","0","0","0","177","737","7","0","40","28","206","0"
"Deebo Samuel","SF","WR","164","13.7","12","0","0","0","0","41","228","3","2","91","54","612","2"
"Andy Dalton","NO","QB","163.2","12.6","13","237","2699","17","9","29","52","0","1","0","0","0","0"
"Ryan Tannehill","TEN","QB","161.2","13.4","12","212","2536","13","6","34","98","2","2","0","0","0","0"
"Allen Lazard","GB","WR","160.7","11.5","14","0","0","0","0","0","0","0","0","94","56","747","5"
"Drake London","ATL","WR","160.6","10","16","0","0","0","0","0","0","0","3","109","66","746","4"
"Raheem Mostert","MIA","RB","160.2","10.7","15","0","0","0","0","170","820","3","1","40","29","212","2"
"Joshua Palmer","LAC","WR","159.4","10.6","15","0","0","0","0","1","4","0","0","101","68","730","3"
"Davis Mills","HOU","QB","159","11.4","14","270","2820","14","13","31","102","2","3","0","0","0","0"
"Tyler Boyd","CIN","WR","156.1","10.4","15","1","23","0","0","0","0","0","0","75","53","711","5"
"Matt Ryan","IND","QB","155.3","12.9","12","309","3057","14","13","27","70","1","5","0","0","0","0"
"Donovan Peoples-Jones","CLE","WR","154.9","9.7","16","0","0","0","0","1","2","0","1","92","59","797","3"
"Marquise Brown","ARI","WR","154.3","14","11","0","0","0","0","1","1","0","0","103","66","702","3"
"Mac Jones","NE","QB","153.8","11.8","13","262","2753","11","8","43","97","1","1","0","0","0","0"
"DeAndre Hopkins","ARI","WR","151.7","16.9","9","0","0","0","0","0","0","0","1","96","64","717","3"
"Mack Hollins","LV","WR","150.5","9.4","16","1","4","0","0","4","40","0","0","90","55","675","4"
"George Pickens","PIT","WR","150.3","9.4","16","0","0","0","0","3","24","1","0","79","49","729","3"
"Jeff Wilson Jr.","SF","RB","149.1","9.9","15","0","0","0","0","160","788","5","2","35","20","183","1"
"Pat Freiermuth","PIT","TE","148.2","9.9","15","0","0","0","0","0","0","0","0","96","63","732","2"
"Christian Watson","GB","WR","147.5","11.3","13","0","0","0","0","5","68","2","0","59","36","507","7"
"Courtland Sutton","DEN","WR","147.1","10.5","14","0","0","0","0","1","5","0","0","102","61","796","1"
"Jonathan Taylor","IND","RB","146.4","13.3","11","0","0","0","0","192","861","4","3","40","28","143","0"
"Tyler Allgeier","ATL","RB","145.9","9.7","15","0","0","0","0","186","900","3","0","17","16","139","1"
"Tyler Higbee","LAR","TE","144.7","9","16","0","0","0","0","0","0","0","0","101","68","587","3"
"K.J. Osborn","MIN","WR","138.9","8.7","16","0","0","0","0","3","6","0","0","84","55","533","5"
"Samaje Perine","CIN","RB","138.9","9.3","15","0","0","0","0","89","376","2","0","50","37","283","4"
"Cordarrelle Patterson","ATL","RB","138.8","11.6","12","0","0","0","0","139","677","7","1","28","19","121","0"
"Rachaad White","TB","RB","137.6","8.6","16","0","0","0","0","125","466","1","3","58","50","290","2"
"Parris Campbell","IND","WR","136.3","8.5","16","0","0","0","0","4","32","0","0","83","57","581","3"
"Kenny Pickett","PIT","QB","136","11.3","12","232","2209","6","9","52","236","3","1","0","0","0","0"
"Latavius Murray","NO","RB","135.4","11.3","12","0","0","0","0","156","657","5","0","34","26","117","0"
"Dalton Schultz","DAL","TE","135.4","9.7","14","0","0","0","0","0","0","0","1","80","53","544","5"
"Keenan Allen","LAC","WR","133.8","14.9","9","0","0","0","0","1","8","0","1","78","58","650","2"
"Richie James","NYG","WR","132.5","8.3","16","0","0","0","0","2","6","0","3","71","57","569","4"
"Juwan Johnson","NO","TE","131.7","8.8","15","0","0","0","0","0","0","0","0","64","41","487","7"
"Cole Kmet","CHI","TE","131.6","8.2","16","0","0","0","0","2","9","0","0","64","46","487","6"
"Dallas Goedert","PHI","TE","130.6","11.9","11","0","0","0","0","0","0","0","1","61","49","656","3"
"Gerald Everett","LAC","TE","129.7","8.6","15","0","0","0","0","1","0","0","0","82","55","547","3"
"Darius Slayton","NYG","WR","128.4","8.6","15","0","0","0","0","0","0","0","1","71","46","724","2"
"Tyler Conklin","NYJ","TE","128.2","8","16","0","0","0","0","2","3","0","0","83","56","539","3"
"David Njoku","CLE","TE","127.8","9.8","13","0","0","0","0","2","-8","0","1","75","54","586","3"
"Dawson Knox","BUF","TE","126.4","9","14","0","0","0","0","0","0","0","0","63","46","504","5"
"Cam Akers","LAR","RB","125.5","9","14","0","0","0","0","167","682","7","2","15","10","93","0"
"Taysom Hill","NO","TE","124.6","8.3","15","13","240","2","0","91","551","7","0","12","8","75","2"
"D'Onta Foreman","CAR","RB","124.2","7.8","16","0","0","0","0","191","846","5","0","9","5","26","0"
"Brandin Cooks","HOU","WR","124","10.3","12","0","0","0","0","2","7","0","0","87","52","593","2"
"Michael Carter","NYJ","RB","123.5","8.2","15","0","0","0","0","111","398","3","1","51","39","287","0"
"Isiah Pacheco","KC","RB","122.6","7.7","16","0","0","0","0","162","766","4","2","14","13","130","0"
"Kareem Hunt","CLE","RB","121","7.6","16","0","0","0","0","119","455","3","0","40","32","195","1"
"Jahan Dotson","WAS","WR","120.4","10.9","11","0","0","0","0","2","-7","0","0","57","32","451","7"
"Marquez Valdes-Scantling","KC","WR","116.7","7.3","16","0","0","0","0","1","-3","0","0","75","39","660","2"
"Noah Fant","SEA","TE","116.6","7.3","16","0","0","0","0","0","0","0","0","59","46","466","4"
"Taylor Heinicke","WAS","QB","116","12.9","9","161","1859","12","6","28","96","1","5","0","0","0","0"
"Baker Mayfield","CAR","QB","115.9","10.5","11","188","2016","10","7","26","73","1","2","0","0","0","0"
"Isaiah McKenzie","BUF","WR","115.9","8.3","14","0","0","0","0","9","55","1","0","63","40","404","4"
"Zach Ertz","ARI","TE","115.6","11.6","10","0","0","0","0","0","0","0","0","69","47","406","4"
"Breece Hall","NYJ","RB","115.1","16.4","7","0","0","0","0","80","463","4","1","31","19","218","1"
"Russell Gage","TB","WR","113.1","9.4","12","0","0","0","0","0","0","0","1","64","48","411","4"
"Carson Wentz","WAS","QB","112.8","14.1","8","172","1755","11","9","22","86","1","1","0","0","0","0"
"Brian Robinson","WAS","RB","112.7","9.4","12","0","0","0","0","205","797","2","0","12","9","60","1"
"Noah Brown","DAL","WR","112.5","7.5","15","0","0","0","0","0","0","0","1","67","42","545","3"
"Marvin Jones Jr.","JAX","WR","112","7.5","15","0","0","0","0","0","0","0","0","75","44","500","3"
"Khalil Herbert","CHI","RB","112","9.3","12","0","0","0","0","119","682","4","0","10","8","58","1"
"Chris Moore","HOU","WR","111.1","7.4","15","0","0","0","0","2","5","0","0","69","46","526","2"
"Devin Duvernay","BAL","WR","110.1","7.9","14","0","0","0","0","12","84","1","0","49","37","407","3"
"Matthew Stafford","LAR","QB","108.4","12","9","206","2087","10","8","13","9","1","3","0","0","0","0"
"Robert Woods","TEN","WR","107.7","6.7","16","0","0","0","0","0","0","0","1","85","49","487","2"
"DeAndre Carter","LAC","WR","107","6.7","16","0","0","0","0","2","-15","0","1","60","43","495","3"
"Robert Tonyan","GB","TE","106.1","6.6","16","0","0","0","0","0","0","0","0","64","50","441","2"
"Alec Pierce","IND","WR","105.1","7","15","0","0","0","0","0","0","0","0","73","38","551","2"
"Greg Dortch","ARI","WR","104.6","7","15","0","0","0","0","5","29","0","1","60","48","437","2"
"Michael Gallup","DAL","WR","103.4","8","13","0","0","0","0","0","0","0","0","68","38","414","4"
"Romeo Doubs","GB","WR","101.6","8.5","12","0","0","0","0","1","11","0","1","65","42","425","3"
"Darnell Mooney","CHI","WR","101.5","8.5","12","0","0","0","0","1","2","0","0","61","40","493","2"
"Josh Reynolds","DET","WR","101.3","7.8","13","0","0","0","0","0","0","0","0","57","37","463","3"
"Isaiah Hodgins","BUF","WR","100.2","10","10","0","0","0","0","0","0","0","1","47","37","392","4"
"Hayden Hurst","CIN","TE","100","8.3","12","0","0","0","0","0","0","0","0","63","48","400","2"
"Kalif Raymond","DET","WR","99.6","6.2","16","0","0","0","0","7","36","0","1","58","43","550","0"
"Demarcus Robinson","BAL","WR","99.4","6.2","16","0","0","0","0","0","0","0","1","66","46","434","2"
"James Cook","BUF","RB","98.6","6.6","15","0","0","0","0","80","462","2","1","31","19","174","1"
"Clyde Edwards-Helaire","KC","RB","98.3","9.8","10","0","0","0","0","71","302","3","0","23","17","151","3"
"Nico Collins","HOU","WR","97.1","9.7","10","0","0","0","0","0","0","0","0","66","37","481","2"
"Olamide Zaccheaus","ATL","WR","96.3","6","16","0","0","0","0","2","7","0","1","54","36","496","2"
"Chase Claypool","PIT","WR","96.1","6.9","14","1","1","1","0","9","59","0","1","73","44","422","1"
"Corey Davis","NYJ","WR","94.9","7.9","12","0","0","0","0","0","0","0","0","62","31","519","2"
"DJ Chark","DET","WR","93.8","9.4","10","0","0","0","0","0","0","0","0","48","27","488","3"
"Mecole Hardman","KC","WR","93.8","11.7","8","0","0","0","0","4","31","2","0","34","25","297","4"
"Hunter Henry","NE","TE","93.7","5.9","16","0","0","0","0","0","0","0","0","52","35","467","2"
"Rashid Shaheed","NO","WR","93.4","8.5","11","0","0","0","0","3","50","1","0","30","25","454","2"
"Zach Wilson","NYJ","QB","91.7","10.2","9","132","1688","6","7","28","102","1","1","1","1","2","1"
"Cade Otton","TB","TE","91.6","6.1","15","0","0","0","0","0","0","0","0","64","41","386","2"
"Jordan Akins","HOU","TE","91.5","6.5","14","0","0","0","0","0","0","0","1","46","33","425","3"
"Marquise Goodwin","SEA","WR","90.2","6.9","13","0","0","0","0","2","5","0","0","41","27","387","4"
"Austin Hooper","TEN","TE","89.6","5.6","16","0","0","0","0","0","0","0","0","56","37","406","2"
"Mike Gesicki","MIA","TE","89.6","5.6","16","0","0","0","0","0","0","0","0","46","28","316","5"
"Eno Benjamin","ARI","RB","89.3","6.4","14","0","0","0","0","75","310","2","0","34","25","193","0"
"James Robinson","JAX","RB","88.6","8.1","11","0","0","0","0","110","425","3","0","14","11","51","2"
"Kenyan Drake","BAL","RB","88.2","8","11","0","0","0","0","93","422","3","0","21","15","70","1"
"Treylon Burks","TEN","WR","88.2","8.8","10","0","0","0","0","4","47","1","0","47","29","425","1"
"Rondale Moore","ARI","WR","87.9","11","8","0","0","0","0","6","-5","0","0","56","41","414","1"
"Melvin Gordon III","DEN","RB","87.1","8.7","10","0","0","0","0","90","318","2","2","32","25","223","0"
"Will Dissly","SEA","TE","86.9","5.8","15","0","0","0","0","0","0","0","0","38","34","349","3"
"Brock Purdy","SF","QB","86.4","10.8","8","99","1196","10","4","18","6","1","0","0","0","0","0"
"Greg Dulcich","DEN","TE","86.1","8.6","10","0","0","0","0","0","0","0","0","55","33","411","2"
"Elijah Moore","NYJ","WR","86","5.7","15","0","0","0","0","5","5","0","0","65","36","435","1"
"Jaylen Warren","PIT","RB","86","5.7","15","0","0","0","0","71","343","1","0","29","25","207","0"
"Sam Darnold","CAR","QB","85.4","17.1","5","77","1100","7","1","20","74","2","2","0","0","0","0"
"Allen Robinson II","LAR","WR","84.9","8.5","10","0","0","0","0","0","0","0","0","52","33","339","3"
"Damien Harris","NE","RB","84.8","8.5","10","0","0","0","0","93","415","3","0","19","16","93","0"
"Ben Skowronek","LAR","WR","84.3","6","14","0","0","0","0","1","17","1","0","61","39","376","0"
"Chigoziem Okonkwo","TEN","TE","84","5.3","16","0","0","0","0","3","2","0","0","42","29","408","2"
"Trent Sherfield","MIA","WR","83.7","5.2","16","0","0","0","0","0","0","0","0","52","30","417","2"
"Foster Moreau","LV","TE","83.2","5.9","14","0","0","0","0","0","2","0","1","54","32","410","2"
"Nick Westbrook-Ikhine","TEN","WR","82.7","5.2","16","0","0","0","0","0","0","0","0","49","25","397","3"
"Kenneth Gainwell","PHI","RB","82.7","5.2","16","0","0","0","0","48","205","4","0","28","22","162","0"
"J.K. Dobbins","BAL","RB","81.2","10.2","8","0","0","0","0","92","520","2","0","8","7","42","1"
"Quez Watkins","PHI","WR","81.1","5.1","16","0","0","0","0","3","1","0","1","46","31","340","3"
"Chuba Hubbard","CAR","RB","80.8","5.8","14","0","0","0","0","74","397","2","1","16","14","171","0"
"Jauan Jennings","SF","WR","80.6","5.4","15","0","0","0","0","0","0","0","0","54","34","406","1"
"Kendrick Bourne","NE","WR","79.8","5.3","15","0","0","0","0","6","39","0","0","43","31","389","1"
"Darren Waller","LV","TE","79.3","9.9","8","0","0","0","0","0","0","0","0","37","26","353","3"
"Terrace Marshall Jr.","CAR","WR","78.7","6.1","13","0","0","0","0","0","0","0","0","44","26","467","1"
"Randall Cobb","GB","WR","78.6","6.5","12","0","0","0","0","0","0","0","0","48","32","406","1"
"Dontrell Hilliard","TEN","RB","77.2","6.4","12","0","0","0","0","22","145","0","0","26","21","177","4"
"DeVante Parker","NE","WR","77","6.4","12","0","0","0","0","0","0","0","0","40","25","460","1"
"Rex Burkhead","HOU","RB","76.3","5.1","15","0","0","0","0","26","80","1","0","49","36","203","1"
"Kyle Pitts","ATL","TE","75.6","7.6","10","0","0","0","0","0","0","0","0","59","28","356","2"
"Nelson Agholor","NE","WR","75.2","5","15","0","0","0","0","0","0","0","2","52","31","362","2"
"Daniel Bellinger","NYG","TE","75","6.3","12","0","0","0","0","1","2","1","1","35","30","268","2"
"Mitch Trubisky","PIT","QB","73.9","10.6","7","117","1252","4","5","19","38","2","0","0","0","0","0"
"Logan Thomas","WAS","TE","73.7","5.7","13","0","0","0","0","0","0","0","0","58","37","307","1"
"Darrell Henderson Jr.","LAR","RB","73.5","7.3","10","0","0","0","0","70","283","3","0","22","17","102","0"
"Isaiah Likely","BAL","TE","73","4.9","15","0","0","0","0","0","0","0","0","47","28","270","3"
"Jelani Woods","IND","TE","72.3","5.2","14","0","0","0","0","0","0","0","0","36","24","303","3"
"Laviska Shenault Jr.","CAR","WR","70.8","5.9","12","0","0","0","0","8","64","1","0","31","26","264","1"
"Julio Jones","TB","WR","70.4","7","10","0","0","0","0","5","45","0","0","43","24","299","2"
"Van Jefferson","LAR","WR","69.8","7","10","0","0","0","0","0","0","0","0","38","21","308","3"
"Chase Edmonds","MIA","RB","69.7","5.8","12","0","0","0","0","59","200","2","0","24","16","157","1"
"JaMycal Hasty","JAX","RB","69.5","4.3","16","0","0","0","0","43","189","2","0","25","20","126","1"
"Nyheim Hines","IND","RB","69.4","4.6","15","0","0","0","0","24","33","1","0","37","30","241","1"
"Alexander Mattison","MIN","RB","69.4","4.3","16","0","0","0","0","64","229","3","0","17","14","85","1"
"Jamal Agnew","JAX","WR","68.5","4.9","14","0","0","0","0","12","86","0","0","29","22","179","3"
"Deshaun Watson","CLE","QB","68","13.6","5","80","872","5","3","30","131","1","0","0","0","0","0"
"Noah Gray","KC","TE","67.6","4.2","16","0","0","0","0","1","1","1","0","33","27","285","1"
"Deon Jackson","IND","RB","67.5","4.5","15","0","0","0","0","60","201","1","1","26","24","134","1"
"Tyquan Thornton","NE","WR","64","5.3","12","0","0","0","0","3","16","1","0","43","21","234","2"
"Brock Wright","DET","TE","63.6","4","16","0","0","0","0","0","0","0","0","23","18","216","4"
"Equanimeous St. Brown","CHI","WR","63.4","4.2","15","0","0","0","0","6","54","0","0","37","20","320","1"
"Colby Parkinson","SEA","TE","62.5","3.9","16","0","0","0","0","0","0","0","0","31","23","275","2"
"Shi Smith","CAR","WR","61.6","3.9","16","0","0","0","0","0","0","0","1","40","22","296","2"
"Joshua Kelley","LAC","RB","61.4","5.1","12","0","0","0","0","64","269","2","0","21","13","95","0"
"Dante Pettis","CHI","WR","61.3","3.8","16","0","0","0","0","2","37","0","0","35","17","226","3"
"Kylen Granson","IND","TE","61.2","4.7","13","0","0","0","0","1","0","0","0","40","31","302","0"
"Trenton Irwin","CIN","WR","61","7.6","8","0","0","0","0","1","11","0","0","21","14","219","4"
"Jarvis Landry","NO","WR","60.2","6.7","9","0","0","0","0","0","0","0","0","39","25","272","1"
"Hunter Renfrow","LV","WR","59.7","6.6","9","0","0","0","0","0","0","0","1","43","29","267","1"
"Ray-Ray McCloud III","SF","WR","58.1","3.6","16","0","0","0","0","4","78","1","0","25","14","243","1"
"Gus Edwards","BAL","RB","57.7","7.2","8","0","0","0","0","83","417","3","1","2","0","0","0"
"Harrison Bryant","CLE","TE","57.7","3.6","16","0","0","0","0","1","8","0","0","40","29","219","1"
"Zonovan Knight","NYJ","RB","56.8","9.5","6","0","0","0","0","73","278","1","0","14","13","100","0"
"Cooper Rush","DAL","QB","56.6","7.1","8","94","1051","5","3","9","6","0","0","0","0","0","0"
"Mike White","NYJ","QB","56.6","14.1","4","103","1192","3","4","6","9","1","1","0","0","0","0"
"Kendall Hinton","DEN","WR","56.4","4.7","12","0","0","0","0","2","13","0","0","33","24","311","0"
"C.J. Uzomah","NYJ","TE","56.2","3.7","15","0","0","0","0","0","0","0","0","27","21","232","2"
"J.D. McKissic","WAS","RB","55.8","7","8","0","0","0","0","22","95","0","0","40","27","173","0"
"Trey McBride","ARI","TE","54.4","3.6","15","0","0","0","0","0","0","0","0","36","26","224","1"
"Braxton Berrios","NYJ","WR","53.6","3.4","16","1","2","1","0","9","91","2","0","32","18","145","0"
"Rashod Bateman","BAL","WR","53.5","8.9","6","0","0","0","0","0","0","0","1","28","15","285","2"
"Robbie Anderson","CAR","WR","52.2","3.3","16","0","0","0","0","0","0","0","1","44","20","282","1"
"Rashaad Penny","SEA","RB","52.2","10.4","5","0","0","0","0","57","346","2","0","5","4","16","0"
"Ameer Abdullah","LV","RB","52.1","3.3","16","0","0","0","0","4","20","0","0","30","24","201","1"
"Jonnu Smith","NE","TE","52","3.7","14","0","0","0","0","1","5","0","0","39","27","245","0"
"Phillip Dorsett","HOU","WR","51.7","3.4","15","0","0","0","0","0","0","0","0","40","20","257","1"
"Wan'Dale Robinson","NYG","WR","51.6","8.6","6","0","0","0","0","2","-1","0","0","31","23","227","1"
"Tutu Atwell","LAR","WR","51.4","4.3","12","0","0","0","0","8","23","0","0","32","16","271","1"
"Tre'Quan Smith","NO","WR","51.2","3.7","14","0","0","0","0","0","0","0","0","26","18","272","1"
"Tommy Tremble","CAR","TE","51.2","3.2","16","0","0","0","0","0","0","0","1","31","18","172","3"
"Michael Thomas","NO","WR","51.1","17","3","0","0","0","0","0","0","0","0","22","16","171","3"
"Damiere Byrd","ATL","WR","50.8","3.9","13","0","0","0","0","0","0","0","0","22","12","268","2"
"Justin Watson","KC","WR","50.8","3.2","16","0","0","0","0","0","0","0","0","32","14","248","2"
"Irv Smith Jr.","MIN","TE","50.8","7.3","7","0","0","0","0","0","0","0","0","33","22","168","2"
"Mark Ingram II","NO","RB","50.3","5","10","0","0","0","0","62","235","1","2","18","16","68","0"
"Tyler Huntley","BAL","QB","50","8.3","6","75","658","2","3","43","137","1","0","0","0","0","0"
