"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Patrick Mahomes","KC","QB","400.8","25.1","16","417","5048","40","12","58","329","4","0","1","1","6","0"
"Josh Allen","BUF","QB","373.8","24.9","15","340","4029","32","13","115","746","7","5","0","0","0","0"
"Jalen Hurts","PHI","QB","369.6","26.4","14","286","3472","22","5","156","747","13","2","0","0","0","0"
"Austin Ekeler","LAC","RB","363.7","22.7","16","0","0","0","0","193","881","13","2","124","103","686","5"
"Justin Jefferson","MIN","WR","359.5","22.5","16","2","34","0","0","4","24","1","0","179","124","1771","8"
"Tyreek Hill","MIA","WR","342.9","21.4","16","0","0","0","0","7","32","2","0","165","117","1687","7"
"Joe Burrow","CIN","QB","339.1","22.6","15","389","4260","34","12","72","247","5","2","0","0","0","0"
"Christian McCaffrey","CAR","RB","334.1","20.9","16","1","34","1","0","234","1094","8","0","105","82","707","4"
"Davante Adams","LV","WR","323.2","20.2","16","0","0","0","0","3","-1","0","0","171","95","1443","14"
"Josh Jacobs","LV","RB","321.3","20.1","16","0","0","0","0","323","1608","12","1","62","51","395","0"
"Travis Kelce","KC","TE","306.5","19.2","16","0","0","0","0","2","5","0","1","145","104","1300","12"
"Justin Fields","CHI","QB","296","19.7","15","192","2242","17","11","160","1143","8","2","0","0","0","0"
"Stefon Diggs","BUF","WR","293.2","19.5","15","0","0","0","0","1","-3","0","0","143","101","1325","10"
"Geno Smith","SEA","QB","290.3","18.1","16","380","4069","29","9","64","315","1","4","0","0","0","0"
"Daniel Jones","NYG","QB","289","18.1","16","317","3205","15","5","120","708","7","3","0","0","0","0"
"A.J. Brown","PHI","WR","286.1","17.9","16","0","0","0","0","0","0","0","2","136","84","1401","11"
"Trevor Lawrence","JAX","QB","285.4","17.8","16","367","3901","24","8","58","294","5","8","0","0","0","0"
"CeeDee Lamb","DAL","WR","285.4","17.8","16","0","0","0","0","10","47","0","0","149","102","1307","8"
"Derrick Henry","TEN","RB","284.8","19","15","2","4","1","0","319","1429","13","3","40","32","379","0"
"Saquon Barkley","NYG","RB","284","17.8","16","0","0","0","0","295","1312","10","0","76","57","338","0"
"Kirk Cousins","MIN","QB","278.6","17.4","16","407","4322","28","14","31","97","2","3","0","0","0","0"
"Jared Goff","DET","QB","273.4","17.1","16","359","4214","29","7","27","68","0","4","1","1","5","0"
"Tom Brady","TB","QB","264.3","16.5","16","477","4610","24","9","29","-1","1","4","1","0","0","0"
"Justin Herbert","LAC","QB","261.4","16.3","16","452","4466","23","10","52","148","0","3","2","2","-10","0"
"Nick Chubb","CLE","RB","258.2","16.1","16","0","0","0","0","290","1448","12","1","31","22","194","0"
"Amon-Ra St. Brown","DET","WR","256.7","17.1","15","0","0","0","0","9","95","0","0","137","100","1112","6"
"Jaylen Waddle","MIA","WR","248.9","15.6","16","0","0","0","0","2","17","0","1","111","70","1312","8"
"Tony Pollard","DAL","RB","246.9","16.5","15","0","0","0","0","186","988","9","0","54","39","371","3"
"Amari Cooper","CLE","WR","240.9","15.1","16","0","0","0","1","0","0","0","0","129","76","1109","9"
"DeVonta Smith","PHI","WR","240.9","15.1","16","0","0","0","0","0","0","0","1","128","88","1129","7"
"Aaron Jones","GB","RB","240.8","15.1","16","0","0","0","0","201","1073","2","2","68","56","375","5"
"Lamar Jackson","BAL","QB","236.1","19.7","12","203","2242","17","7","112","764","3","2","0","0","0","0"
"Rhamondre Stevenson","NE","RB","235.9","14.7","16","0","0","0","0","204","986","5","1","83","64","393","1"
"Dalvin Cook","MIN","RB","235.1","14.7","16","0","0","0","0","253","1136","8","3","55","38","295","2"
