"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Brandon Aubrey","K","DAL","10","18","11","12","6","8","BYE","13","7","7","9","9","15","22","4","9","11","","10.7","171"
"2","Justin Tucker","K","FA","5","11","7","4","4","19","8","8","14","7","11","10","-","12","12","16","8","","9.8","156"
"3","Jake Elliott","K","PHI","18","12","11","18","11","2","7","10","4","BYE","3","9","7","10","5","17","8","","9.5","152"
"4","Jason Myers","K","SEA","8","7","18","6","BYE","9","9","6","3","21","15","9","5","5","9","8","13","","9.4","151"
"5","Dustin Hopkins","K","CLE","12","9","12","5","BYE","17","22","8","10","14","7","6","8","9","8","2","-","","9.9","149"
"6","Cairo Santos","K","CHI","7","7","4","4","17","9","8","1","5","12","17","14","BYE","11","6","10","15","","9.2","147"
"7","Harrison Butker","K","KC","8","5","12","11","10","17","7","11","3","BYE","6","7","7","5","11","2","24","","9.1","146"
"7","Matt Gay","K","WAS","3","8","24","1","12","10","8","10","11","6","-","10","14","0","13","4","12","","9.1","146"
"9","Jason Sanders","K","MIA","14","6","10","2","8","6","6","7","2","BYE","11","12","10","9","12","22","7","","9","144"
"10","Blake Grupe","K","NO","12","8","5","10","14","9","11","8","8","4","BYE","19","4","4","8","2","12","","8.6","138"
"11","Brandon McManus","K","GB","8","10","5","14","6","17","8","16","-","3","10","14","8","3","1","0","14","","8.6","137"
"12","Cameron Dicker","K","LAC","12","10","4","6","BYE","5","7","16","11","9","8","4","6","1","3","21","13","","8.5","136"
"13","Greg Zuerlein","K","FA","11","-","6","4","18","14","-","7","8","16","0","1","7","17","0","14","10","","8.9","133"
"13","Younghoe Koo","K","ATL","7","13","7","1","7","5","13","12","19","5","BYE","6","8","5","1","19","5","","8.3","133"
"15","Evan McPherson","K","CIN","4","6","19","3","12","7","BYE","9","6","11","10","5","13","10","9","3","5","","8.3","132"
"16","Tyler Bass","K","BUF","13","8","15","14","2","2","5","6","4","2","17","12","BYE","8","7","6","9","","8.1","130"
"17","Jake Moody","K","SF","14","14","12","5","6","5","7","5","BYE","10","9","7","6","4","10","6","9","","8.1","129"
"18","Chris Boswell","K","PIT","1","12","15","6","11","BYE","8","4","8","13","4","11","4","6","1","12","12","","8","128"
"19","Nick Folk","K","FA","18","10","4","11","12","10","-","4","11","6","2","7","9","8","5","5","5","","7.9","127"
"19","Wil Lutz","K","DEN","4","9","8","9","7","0","15","6","BYE","15","17","9","5","6","5","1","11","","7.9","127"
"21","Chase McLaughlin","K","TB","10","9","3","10","BYE","6","7","6","16","8","2","8","3","11","11","14","1","","7.8","125"
"22","Matt Prater","K","FA","12","9","13","4","2","11","5","5","0","18","6","0","8","-","14","6","9","","7.6","122"
"23","Anders Carlson","K","FA","10","6","4","8","7","-","5","4","8","7","5","6","11","11","8","11","9","","7.5","120"
"24","Daniel Carlson","K","LV","5","5","4","5","5","13","7","2","14","14","8","5","BYE","0","9","6","9","","6.9","111"
"25","Greg Joseph","K","SF","5","4","6","3","9","11","12","6","11","10","8","4","-","3","6","6","6","","6.9","110"
"26","Eddy Pineiro","K","FA","5","13","11","9","6","3","-","10","8","7","5","6","4","7","9","6","-","","7.3","109"
"27","Ka'imi Fairbairn","K","HOU","9","8","13","12","15","8","BYE","1","6","-","-","-","-","-","17","2","16","","9.7","107"
"28","Joey Slye","K","TEN","8","11","5","7","8","6","1","9","8","10","8","5","1","-","2","4","5","","6.1","98"
"29","Riley Patterson","K","FA","3","7","8","10","6","8","0","17","-","12","3","0","9","1","-","-","7","","6.5","91"
"30","Chad Ryland","K","ARI","2","6","10","3","0","6","12","5","6","6","-","1","0","3","5","10","3","","4.9","78"
"31","Brett Maher","K","FA","15","13","11","16","2","15","4","-","-","-","-","-","-","-","-","-","-","","10.9","76"
"32","Lucas Havrisik","K","FA","-","-","-","-","-","-","-","7","5","-","5","7","11","13","8","12","2","","7.8","70"
"33","Graham Gano","K","NYG","0","7","9","5","13","10","2","4","-","-","-","-","BYE","-","-","-","-","","6.3","50"
"34","Randy Bullock","K","FA","-","-","-","-","-","-","-","-","0","6","7","5","-","6","5","-","-","","4.8","29"
"34","Matt Ammendola","K","FA","-","-","-","-","-","-","-","-","-","13","3","3","10","0","-","-","-","","5.8","29"
"36","Michael Badgley","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6","6","8","","6.7","20"
"37","Mason Crosby","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7","7","","7","14"
"38","Austin Seibert","K","FA","-","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","4","4"
"39","Matthew Wright","K","CAR","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","","","0"
""
""
